date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2024-03-04,922393.31939,922393.31939,0.0,bull,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-03-05,922393.31939,922393.31939,0.0,bull,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-03-06,884543.1533899999,183614.15338999988,700929.0,bull,5d_10%,1,False,-0.04103473562127624,1000000.0,2024-2025
2024-03-07,883281.4811899998,883281.4811899998,0.0,bull,5d_10%,0,False,-0.0014263546048202125,1000000.0,2024-2025
2024-03-08,832600.9941899998,177374.99418999976,655226.0,bull,5d_10%,1,False,-0.05737750431688082,1000000.0,2024-2025
2024-03-11,802470.5372899997,168550.53728999966,633920.0,bull,5d_10%,1,False,-0.03618835085503669,1000000.0,2024-2025
2024-03-12,810049.7564899996,810049.7564899996,0.0,bull,5d_10%,0,False,0.00944485666177286,1000000.0,2024-2025
2024-03-13,810049.7564899996,810049.7564899996,0.0,bull,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-03-14,779267.7438899996,161505.74388999958,617762.0,bull,5d_10%,1,False,-0.0380001504270312,1000000.0,2024-2025
2024-03-15,775715.0734699996,775715.0734699996,0.0,bull,5d_10%,0,False,-0.004558985596228471,1000000.0,2024-2025
2024-03-18,775715.0734699996,775715.0734699996,0.0,bull,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-19,775715.0734699996,775715.0734699996,0.0,bull,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-20,775715.0734699996,775715.0734699996,0.0,bull,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-21,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-22,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-25,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-26,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-27,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-28,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-03-29,775715.0734699996,775715.0734699996,0.0,sideways,5d_10%,0,True,0.0,1000000.0,2024-2025
2024-04-01,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-04-02,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-04-03,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-04-08,775715.0734699996,775715.0734699996,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-04-09,775715.0734699996,775715.0734699996,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-04-10,775715.0734699996,775715.0734699996,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-04-11,775715.0734699996,775715.0734699996,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-04-12,754262.7454699996,542852.7454699996,211410.0,sideways,5d_10%,1,False,-0.027654906722435424,1000000.0,2024-2025
2024-04-15,770379.4900699996,534183.4900699996,236196.00000000003,sideways,5d_10%,1,False,0.021367546914911273,1000000.0,2024-2025
2024-04-16,752376.0814099996,525822.0814099996,226554.0,sideways,5d_10%,2,False,-0.023369532668067405,1000000.0,2024-2025
2024-04-17,762477.0814099996,525822.0814099996,236655.0,sideways,5d_10%,2,False,0.013425466664317875,1000000.0,2024-2025
2024-04-18,761895.0814099996,525822.0814099996,236073.0,sideways,5d_10%,2,False,-0.0007633016312093011,1000000.0,2024-2025
2024-04-19,759708.0814099996,525822.0814099996,233886.0,sideways,5d_10%,2,False,-0.002870473971235854,1000000.0,2024-2025
2024-04-22,759189.0814099996,525822.0814099996,233367.0,sideways,5d_10%,2,False,-0.0006831571398276948,1000000.0,2024-2025
2024-04-23,757562.8400899996,533114.8400899996,224448.0,sideways,5d_10%,1,False,-0.0021420768025005588,1000000.0,2024-2025
2024-04-24,733680.4068299995,524870.4068299995,208810.0,sideways,5d_10%,2,False,-0.03152534944449337,1000000.0,2024-2025
2024-04-25,749465.4068299995,524870.4068299995,224595.0,sideways,5d_10%,2,False,0.021514817423300192,1000000.0,2024-2025
2024-04-26,749146.3396299995,631382.3396299995,117764.0,recovery,5d_10%,1,False,-0.000425726387225267,1000000.0,2024-2025
2024-04-29,755134.3396299995,631382.3396299995,123752.0,recovery,5d_10%,1,False,0.007993097854495979,1000000.0,2024-2025
2024-04-30,761122.3396299995,631382.3396299995,129740.0,recovery,5d_10%,1,False,0.007929714867600968,1000000.0,2024-2025
2024-05-06,759892.6040299995,759892.6040299995,0.0,recovery,5d_10%,0,False,-0.001615687171391933,1000000.0,2024-2025
2024-05-07,759892.6040299995,759892.6040299995,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-05-08,759892.6040299995,759892.6040299995,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-05-09,731157.5586299994,152145.5586299994,579012.0,bull,5d_10%,2,False,-0.03781461386465301,1000000.0,2024-2025
