window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2023 Sideways,bear,10d_15%,002316.SZ,matured,2023-12-19,2023-12-26,5.15,5.04,-0.021359223300970953,-0.02445922330097095,95100,0.0031
2024-2025,sideways,5d_10%,000595.SZ,stop_loss,2024-01-03,2024-01-04,6.5,6.175,-0.05,-0.0531,46100,0.0031
2024-2025,sideways,5d_10%,000068.SZ,stop_loss,2024-01-25,2024-01-26,5.48,5.206,-0.05,-0.0531,37600,0.0031
2024-2025,bear,10d_15%,001270.SZ,stop_loss,2024-01-24,2024-01-30,50.9,48.355,-0.05,-0.0531,5800,0.0031
2024-2025,bear,10d_15%,001379.SZ,stop_loss,2024-01-29,2024-01-30,25.21,23.9495,-0.05,-0.0531,8000,0.0031
2024-2025,severe_bear,5d_10%,001358.SZ,stop_loss,2024-02-01,2024-02-02,32.57,30.941499999999998,-0.05,-0.0531,2900,0.0031
2024-2025,severe_bear,5d_10%,002549.SZ,stop_loss,2024-02-01,2024-02-02,6.65,6.3175,-0.05,-0.0531,14200,0.0031
2024-2025,severe_bear,5d_10%,300065.SZ,stop_loss,2024-02-01,2024-02-02,6.93,6.583499999999999,-0.05,-0.0531,13600,0.0031
2024-2025,sideways,5d_10%,000908.SZ,stop_loss,2024-02-06,2024-02-07,1.54,1.4629999999999999,-0.05,-0.0531,60500,0.0031
2024-2025,recovery,5d_10%,000536.SZ,stop_loss,2024-02-06,2024-02-08,2.23,2.1185,-0.05,-0.0531,41700,0.0031
2024-2025,recovery,5d_10%,000541.SZ,matured,2024-02-06,2024-02-21,4.67,5.19,0.11134903640256977,0.10824903640256976,19900,0.0031
2024-2025,recovery,5d_10%,002232.SZ,matured,2024-02-07,2024-02-22,10.92,13.52,0.23809523809523814,0.23499523809523815,20300,0.0031
2024-2025,bull,5d_10%,000620.SZ,stop_loss,2024-03-06,2024-03-07,1.8,1.71,-0.05,-0.0531,437300,0.0031
2024-2025,bull,5d_10%,001324.SZ,stop_loss,2024-03-08,2024-03-11,24.65,23.417499999999997,-0.05,-0.0531,30500,0.0031
2024-2025,bull,5d_10%,000008.SZ,stop_loss,2024-03-11,2024-03-12,3.02,2.8689999999999998,-0.05,-0.0531,239000,0.0031
2024-2025,bull,5d_10%,000737.SZ,stop_loss,2024-03-14,2024-03-15,6.49,6.1655,-0.05,-0.0531,106500,0.0031
2024-2025,recovery,5d_10%,000801.SZ,stop_loss,2024-03-20,2024-03-21,14.95,14.202499999999999,-0.05,-0.0531,8800,0.0031
2024-2025,recovery,5d_10%,000719.SZ,matured,2024-03-19,2024-03-26,12.09,12.87,0.06451612903225801,0.06141612903225801,27300,0.0031
2024-2025,recovery,5d_10%,000710.SZ,matured,2024-03-19,2024-03-26,9.7,9.83,0.013402061855670278,0.010302061855670277,34100,0.0031
