date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2022-07-26,1797602.8756399977,905877.8756399977,891725.0,sideways,5d_10%,3,False,-0.00042316241463047355,2010471.0053599984,2022 Bear
2022-07-27,1799350.8756399977,905877.8756399977,893473.0,sideways,5d_10%,3,False,0.0009724060990821126,2010471.0053599984,2022 Bear
2022-07-28,1784929.5048399975,977104.5048399975,807825.0,sideways,5d_10%,3,False,-0.008014762987719526,2010471.0053599984,2022 Bear
2022-07-29,1801217.5048399975,977104.5048399975,824113.0,bear,10d_15%,3,False,0.00912529035787335,2010471.0053599984,2022 Bear
2022-08-01,1827047.7658399974,1366257.7658399974,460790.0,bear,10d_15%,1,False,0.014340445243615552,2010471.0053599984,2022 Bear
2022-08-02,1873022.9960399973,958982.9960399974,914040.0,bear,10d_15%,2,False,0.025163671721993852,2010471.0053599984,2022 Bear
2022-08-03,1917532.9960399973,958982.9960399974,958550.0,bear,10d_15%,2,False,0.023763723186583707,2010471.0053599984,2022 Bear
2022-08-04,1935268.2440399975,1099506.2440399975,835762.0,bear,10d_15%,2,False,0.00924899234413501,2010471.0053599984,2022 Bear
2022-08-05,1974148.2440399975,1099506.2440399975,874642.0,bear,10d_15%,2,False,0.020090238198109178,2010471.0053599984,2022 Bear
2022-08-08,2023156.2440399975,1099506.2440399975,923650.0,bear,10d_15%,2,False,0.024824883413875565,2023156.2440399975,2022 Bear
2022-08-09,2078629.2160399975,1508229.2160399975,570400.0,bear,10d_15%,1,False,0.027419025180787537,2078629.2160399975,2022 Bear
2022-08-10,2135669.2160399975,1508229.2160399975,627440.0,bear,10d_15%,1,False,0.027441161492316013,2135669.2160399975,2022 Bear
2022-08-11,2166346.0267399973,1538554.0267399973,627792.0,sideways,5d_10%,1,False,0.014364027195597817,2166346.0267399973,2022 Bear
2022-08-12,2229035.0267399973,1538554.0267399973,690481.0,sideways,5d_10%,1,False,0.028937667032970182,2229035.0267399973,2022 Bear
2022-08-15,2254593.2522399975,1076589.2522399973,1178004.0,sideways,5d_10%,2,False,0.011466049296398717,2254593.2522399975,2022 Bear
2022-08-16,2302445.0680899974,1514097.0680899972,788348.0,sideways,5d_10%,1,False,0.021224145775499803,2302445.0680899974,2022 Bear
2022-08-17,2341231.0680899974,1514097.0680899972,827134.0,sideways,5d_10%,1,False,0.016845570188640746,2341231.0680899974,2022 Bear
2022-08-18,2246064.2514899974,1616860.2514899974,629204.0,sideways,5d_10%,2,False,-0.040648194830951945,2341231.0680899974,2022 Bear
2022-08-19,2308680.2514899974,1616860.2514899974,691820.0,sideways,5d_10%,2,False,0.027878098303938392,2341231.0680899974,2022 Bear
2022-08-22,2378036.2514899974,1616860.2514899974,761176.0,sideways,5d_10%,2,False,0.030041405671157095,2378036.2514899974,2022 Bear
2022-08-23,2454458.2514899974,1616860.2514899974,837598.0,sideways,5d_10%,2,False,0.032136600084257116,2454458.2514899974,2022 Bear
2022-08-24,2460210.9214899973,1132130.9214899973,1328080.0,bear,10d_15%,3,False,0.0023437636376613113,2460210.9214899973,2022 Bear
2022-08-25,2432257.443589997,1712514.443589997,719743.0,sideways,5d_10%,3,False,-0.011362228195894164,2460210.9214899973,2022 Bear
2022-08-26,2461295.443589997,1712514.443589997,748781.0,sideways,5d_10%,3,False,0.011938703313058907,2461295.443589997,2022 Bear
2022-08-29,2497969.129279997,1360680.129279997,1137289.0,sideways,5d_10%,3,False,0.014900155844967733,2497969.129279997,2022 Bear
2022-08-30,2484937.129279997,1360680.129279997,1124257.0,sideways,5d_10%,3,False,-0.0052170380519299675,2497969.129279997,2022 Bear
2022-08-31,2458141.129279997,1360680.129279997,1097461.0,sideways,5d_10%,3,False,-0.010783371411800746,2497969.129279997,2022 Bear
2022-09-01,2405297.004779997,1324567.0047799968,1080730.0,sideways,5d_10%,2,False,-0.0214975958339213,2497969.129279997,2022 Bear
2022-09-02,2462837.004779997,1324567.0047799968,1138270.0,bear,10d_15%,2,False,0.0239222016597751,2497969.129279997,2022 Bear
