window,symbol,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,000681.SZ,2022-03-09,2022-03-16,14.4,14.45,0.003472222222222099,0.000372222222222099,100,0.0031
2022 Bear,000530.SZ,2022-03-09,2022-03-16,4.56,4.48,-0.01754385964912264,-0.020643859649122638,400,0.0031
2022 Bear,000788.SZ,2022-03-10,2022-03-17,9.92,13.85,0.39616935483870974,0.25,100,0.0031
2022 Bear,000615.SZ,2022-03-10,2022-03-17,7.59,7.84,0.03293807641633739,0.029838076416337393,100,0.0031
2022 Bear,000510.SZ,2022-03-10,2022-03-17,6.81,6.77,-0.005873715124816492,-0.008973715124816492,100,0.0031
2022 Bear,000078.SZ,2022-03-10,2022-03-17,3.65,3.66,0.00273972602739736,-0.00036027397260263985,300,0.0031
2022 Bear,000838.SZ,2022-03-10,2022-03-17,9.18,9.96,0.08496732026143805,0.08186732026143805,100,0.0031
2022 Bear,300323.SZ,2022-03-10,2022-03-17,8.65,8.4,-0.028901734104046284,-0.03200173410404628,100,0.0031
2022 Bear,000516.SZ,2022-03-10,2022-03-17,7.51,6.94,-0.07589880159786944,-0.07899880159786944,100,0.0031
2022 Bear,000620.SZ,2022-03-10,2022-03-17,2.6,3.01,0.15769230769230758,0.15459230769230758,400,0.0031
2022 Bear,001289.SZ,2022-03-15,2022-03-22,26.67,26.69,0.0007499062617173369,-0.002350093738282663,3200,0.0031
2022 Bear,000995.SZ,2022-03-15,2022-03-22,13.73,14.36,0.0458849235251273,0.0427849235251273,6300,0.0031
2022 Bear,000812.SZ,2022-03-15,2022-03-22,5.9,6.94,0.17627118644067785,0.17317118644067786,14700,0.0031
2022 Bear,001296.SZ,2022-03-15,2022-03-22,33.43,35.23,0.05384385282680215,0.050743852826802154,2600,0.0031
2022 Bear,000953.SZ,2022-03-15,2022-03-22,7.51,7.3,-0.0279627163781625,-0.0310627163781625,11500,0.0031
2022 Bear,000506.SZ,2022-03-15,2022-03-22,2.98,3.02,0.01342281879194629,0.010322818791946289,29100,0.0031
