window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2023 Sideways,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2023-05-29,2023-05-29,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-08-11,2023-08-11,0.0,0.0,0.0,0.0,0,0.0,0.39999999999999997
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-08-14,2023-08-14,0.0,0.0,0.0,0.0,0,0.0,0.39999999999999997
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-08-15,2023-08-15,0.0,0.0,0.0,0.0,0,0.0,0.39999999999999997
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-08-16,2023-08-16,0.0,0.0,0.0,0.0,0,0.0,0.39999999999999997
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-08-17,2023-08-17,0.0,0.0,0.0,0.0,0,0.0,0.39999999999999997
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-08-21,2023-08-21,0.0,0.0,0.0,0.0,0,0.0,0.39999999999999997
2023 Sideways,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2023-08-23,2023-08-23,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,sideways,5d_10%,000752.SZ,matured,2023-09-11,2023-09-18,8.75,10.64,0.21599999999999997,0.21289999999999998,76300,0.0031,0.39999999999999997
2023 Sideways,sideways,5d_10%,000752.SZ,stop_loss,2023-10-11,2023-10-13,8.56,8.132,-0.05,-0.0531,57000,0.0031,0.39999999999999997
2023 Sideways,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2023-10-19,2023-10-19,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2023-10-20,2023-10-20,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2023-10-23,2023-10-23,0.0,0.0,0.0,0.0,0,0.0,0.35
